,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
0,Clyde River,CA,1540296660,70.47,-68.59,14.0,90,92,31.09
1,Mao,DO,1540296000,19.55,-71.08,73.4,20,100,7.52
2,Rikitea,PF,1540297547,-23.12,-134.97,70.1,100,100,3.49
3,Marathon,CA,1540296000,48.72,-86.38,33.8,75,86,19.46
4,Ngerengere,TZ,1540296000,-6.76,38.13,86.0,40,42,7.96
5,Saskylakh,RU,1540297549,71.97,114.09,12.5,80,85,4.61
6,Albany,US,1540295640,42.65,-73.75,42.8,75,81,3.15
7,Busselton,AU,1540297549,-33.64,115.35,59.17,48,100,9.19
8,Inhuma,BR,1540297550,-6.67,-41.71,87.02,0,52,14.45
9,Bredasdorp,ZA,1540296000,-34.53,20.04,93.2,0,23,11.41
10,Vaini,IN,1540297550,15.34,74.49,72.53,8,96,2.15
11,Bluff,AU,1540297254,-23.58,149.07,76.45,8,56,9.86
12,Upernavik,GL,1540297550,72.79,-56.15,16.28,8,100,11.77
13,San Vicente,SV,1540295400,13.64,-88.78,77.0,20,100,4.7
14,Torbay,CA,1540296000,47.66,-52.73,41.0,20,100,13.87
15,Ushuaia,AR,1540292400,-54.81,-68.31,41.0,40,100,23.04
16,Billings,US,1540295580,45.79,-108.5,35.6,1,74,9.17
17,Georgetown,GY,1540292400,6.8,-58.16,75.2,40,100,2.24
18,Broome,GB,1540295760,52.47,1.45,59.0,0,67,23.04
19,Belmonte,PT,1540297403,40.36,-7.35,62.27,20,67,5.39
20,Mataura,NZ,1540297552,-46.19,168.86,58.22,80,97,4.05
21,Red Bluff,US,1540295700,40.18,-122.24,50.0,1,61,4.7
22,Narsaq,GL,1540295400,60.91,-46.05,33.8,75,83,1.12
23,Mar del Plata,AR,1540297553,-46.43,-67.52,47.6,0,76,3.6
24,Tuktoyaktuk,CA,1540297553,69.44,-133.03,23.75,64,100,9.98
25,Atuona,PF,1540297553,-9.8,-139.03,80.86,76,98,16.46
26,Cape Town,ZA,1540296000,-33.93,18.42,95.0,20,24,19.46
27,Ilulissat,GL,1540295400,69.22,-51.1,1.4,20,45,5.82
28,Avarua,CK,1540292400,-21.21,-159.78,71.6,90,68,8.05
29,Pimentel,BR,1540297554,-3.7,-45.5,83.33,24,85,4.38
30,San Jose,PH,1540297479,15.79,120.99,73.75,0,92,0.81
31,Dicabisagan,PH,1540297555,17.08,122.42,74.92,24,100,9.42
32,Pisco,PE,1540296000,-13.71,-76.2,64.4,90,82,1.12
33,Castro,CL,1540297556,-42.48,-73.76,46.52,8,96,4.38
34,Vigrestad,NO,1540295400,58.57,5.7,51.8,75,71,23.04
35,College,US,1540295880,64.86,-147.8,32.0,1,70,6.93
36,Hermanus,ZA,1540297557,-34.42,19.24,93.73,0,23,4.94
37,Kuala Terengganu,MY,1540296000,5.33,103.14,80.6,75,88,1.12
38,Svetlogorsk,RU,1540294200,53.14,59.15,50.0,20,46,13.42
39,Tasiilaq,GL,1540295400,65.61,-37.64,28.4,75,58,6.93
40,Manaure,CO,1540296000,11.78,-72.45,78.8,40,88,6.96
41,Norman Wells,CA,1540296000,65.28,-126.83,26.6,75,100,2.71
42,Kabanjahe,ID,1540297557,3.1,98.49,69.52,88,93,2.15
43,Tiksi,RU,1540297558,71.64,128.87,13.18,36,82,17.69
44,Faanui,PF,1540297561,-16.48,-151.75,81.85,88,96,11.21
45,Houma,CN,1540297561,35.63,111.36,43.82,0,75,2.15
46,Norwood,US,1540295760,42.19,-71.2,46.4,90,87,5.82
47,Kavaratti,IN,1540297397,10.57,72.64,85.18,8,100,8.63
48,Ribeira Grande,PT,1540296000,38.52,-28.7,71.6,40,68,20.8
49,Saint-Augustin,FR,1540296000,44.83,-0.61,64.4,0,59,11.41
50,Ayolas,PY,1540297562,-27.39,-56.84,72.62,88,81,14.45
51,Micheweni,TZ,1540297562,-4.97,39.83,80.59,36,94,27.42
52,Aswan,EG,1540292400,24.09,32.9,100.4,0,13,2.24
53,Bon Air,US,1540295760,37.52,-77.56,46.4,1,87,4.7
54,Ranghulu,CN,1540297563,46.63,124.88,41.3,32,60,7.18
55,Luderitz,NA,1540292400,-26.65,15.16,75.2,0,57,4.7
56,Cherskiy,RU,1540297468,68.75,161.3,8.86,88,86,3.38
57,San Patricio,PY,1540297564,-26.98,-56.83,74.6,88,79,6.73
58,Provideniya,RU,1540297564,64.42,-173.23,36.49,48,100,15.46
59,Karratha,AU,1540297450,-20.74,116.85,85.18,0,15,12.77
60,Puerto Ayora,EC,1540296000,-0.74,-90.35,68.0,75,88,11.41
61,Vao,EE,1540297565,59.1,26.19,43.55,68,87,12.33
62,East London,ZA,1540296000,-33.02,27.91,80.6,0,51,12.75
63,Tuatapere,NZ,1540297566,-46.13,167.69,59.3,76,80,8.41
64,Madang,PG,1540297566,-5.21,145.81,75.5,92,100,3.6
65,Moerai,PF,1540297566,-22.43,-151.33,69.47,100,100,8.63
66,Biala Podlaska,PL,1540295400,52.03,23.12,42.8,90,93,17.9
67,Shimoda,JP,1540297567,34.7,138.93,66.68,24,100,15.68
68,Punta Alta,AR,1540294200,-27.46,-55.82,73.4,90,77,4.83
69,Ancud,CL,1540297567,-41.87,-73.83,48.01,8,77,4.16
70,Kaitangata,NZ,1540297331,-46.28,169.85,57.77,88,89,3.71
71,Guerrero Negro,MX,1540297567,27.97,-114.04,63.62,92,100,8.41
72,Sinnamary,GF,1540297567,5.38,-52.96,82.25,0,93,11.21
73,Salalah,OM,1540291800,17.01,54.1,86.0,20,62,9.17
74,Ziro,IN,1540297568,27.54,93.82,59.26,88,73,0.58
75,Chemal,RU,1540297568,51.41,86.0,25.51,80,67,2.15
76,Nikolskoye,RU,1540294200,59.7,30.79,42.8,75,81,4.47
77,Kutum,SD,1540297569,14.2,24.66,90.49,0,26,7.18
78,Soluno-Dmitriyevskoye,RU,1540294200,44.4,42.73,64.4,75,55,8.95
79,Yellowknife,CA,1540296000,62.45,-114.38,24.8,40,92,5.82
80,San Cristobal,EC,1540296000,-0.39,-78.55,42.8,0,87,1.12
81,Barcelos,PT,1540296000,41.53,-8.62,75.2,0,38,16.11
82,Petropavlovka,RU,1540297570,50.61,105.32,29.29,0,84,2.71
83,Lincoln,GB,1540295400,53.23,-0.54,60.8,75,71,17.22
84,Port Elizabeth,US,1540295760,39.31,-74.98,51.8,1,93,8.41
85,Yinchuan,CN,1540297570,38.48,106.21,45.31,0,55,7.52
86,Nantucket,US,1540296900,41.28,-70.1,51.8,90,87,8.05
87,Rosarito,CO,1540296000,4.91,-75.23,68.0,75,100,2.71
88,Almaznyy,RU,1540297571,48.03,40.04,52.96,0,93,11.21
89,Nanortalik,GL,1540297540,60.14,-45.24,35.0,92,98,7.18
90,Xichang,CN,1540297575,27.88,102.25,56.65,0,57,2.37
91,Opuwo,NA,1540297575,-18.06,13.84,81.4,32,45,10.31
92,Kruisfontein,ZA,1540297575,-34.0,24.73,78.92,0,56,1.36
93,Kodiak,US,1540295580,39.95,-94.76,42.8,1,70,5.82
94,Labuhan,ID,1540297576,-2.54,115.51,76.13,12,87,2.59
95,Waddan,LY,1540297576,29.16,16.14,83.38,0,34,12.21
96,Airai,TL,1540297576,-8.93,125.41,72.22,32,76,1.25
97,Kjopsvik,NO,1540295400,68.1,16.37,39.2,40,86,1.12
98,Moanda,CD,1540296000,-5.93,12.38,86.0,20,70,10.29
99,Lorengau,PG,1540297547,-2.02,147.27,81.76,48,100,11.65
100,Jonava,LT,1540295400,55.07,24.28,41.0,90,86,14.99
101,Severo-Kurilsk,RU,1540297577,50.68,156.12,41.62,64,93,9.19
102,Victor Harbor,AU,1540296000,-35.55,138.62,53.6,0,62,6.93
103,Znamenskoye,RU,1540297577,57.13,73.82,33.02,92,87,14.0
104,Geraldton,CA,1540296000,49.72,-86.95,32.0,90,92,10.29
105,Belyy Yar,RU,1540294200,53.6,91.39,33.8,0,59,8.95
106,Cabo San Lucas,MX,1540295280,22.89,-109.91,78.8,40,73,12.44
107,Namatanai,PG,1540297578,-3.66,152.44,79.69,68,100,4.94
108,Zheleznodorozhnyy,RU,1540294200,55.75,38.0,41.0,90,93,6.71
109,Durant,US,1540295700,33.99,-96.37,53.6,1,87,3.36
110,Balkanabat,TM,1540297579,39.51,54.36,76.09,0,25,2.71
111,San Rafael del Sur,NI,1540296000,11.85,-86.44,75.2,20,88,4.7
112,Saint-Pierre,FR,1540296000,48.95,4.24,57.2,0,58,11.41
113,San Quintin,PH,1540296000,17.54,120.52,80.6,40,78,2.24
114,Esperance,TT,1540296000,10.24,-61.45,78.8,20,88,4.5
115,Port Alfred,ZA,1540297325,-33.59,26.89,79.73,0,56,7.63
116,Sitka,US,1540297580,37.17,-99.65,46.97,0,91,2.93
117,Rorvik,NO,1540295400,64.86,11.24,41.0,75,80,11.41
118,Thompson,CA,1540296000,55.74,-97.86,14.0,40,92,1.59
119,Santa Maria,BR,1540296000,-29.69,-53.81,69.8,75,73,14.99
120,Melfi,IT,1540295400,41.0,15.66,66.2,20,68,23.04
121,Chuy,UY,1540297583,-33.69,-53.46,63.4,0,87,15.68
122,Luganville,VU,1540297583,-15.51,167.18,76.54,92,100,7.63
123,Jamestown,AU,1540297583,-33.21,138.6,52.06,0,59,9.19
124,Hilo,US,1540295760,19.71,-155.08,69.8,1,88,3.36
125,Bambous Virieux,MU,1540296000,-20.34,57.76,77.0,40,53,14.99
126,Barrow,AR,1540297583,-38.31,-60.23,49.81,88,71,7.07
127,Kapaa,US,1540295760,22.08,-159.32,75.2,40,83,11.41
128,Anakapalle,IN,1540297584,17.69,83.0,85.81,20,71,6.85
129,Khandyga,RU,1540297584,62.65,135.58,11.65,8,94,3.15
130,Tabou,CI,1540297584,4.42,-7.36,79.06,76,100,6.85
131,Saint-Philippe,CA,1540296000,45.36,-73.48,37.4,75,84,5.82
132,Hobart,AU,1540296000,-42.88,147.33,48.2,0,49,8.05
133,Victoria,BN,1540296000,5.28,115.24,78.8,90,83,3.36
134,Porirua,NZ,1540296000,-41.14,174.84,57.2,0,82,19.46
135,Khatanga,RU,1540297588,71.98,102.47,16.06,76,84,8.19
136,Westport,IE,1540296000,53.8,-9.52,53.6,75,76,13.87
137,Hervey Bay,AU,1540297589,-25.3,152.85,71.59,0,100,7.4
138,Paita,PE,1540297589,-5.09,-81.11,63.22,68,93,6.06
139,Dikson,RU,1540297589,73.51,80.55,26.72,44,100,18.48
140,Nabire,ID,1540297589,-3.36,135.5,70.42,68,91,1.92
141,Aliaga,PH,1540296000,15.5,120.85,84.2,75,62,2.24
142,Klaksvik,FO,1540295400,62.23,-6.59,44.6,12,81,14.99
143,New Norfolk,AU,1540296000,-42.78,147.06,48.2,12,49,8.05
144,Coquimbo,CL,1540292400,-29.95,-71.34,55.4,90,82,3.36
145,Doha,QA,1540292400,25.29,51.53,91.4,0,49,10.29
146,Punta Arenas,CL,1540296000,-53.16,-70.91,44.6,0,56,11.41
147,Butaritari,KI,1540297592,3.07,172.79,85.13,88,100,7.4
148,Lashio,MM,1540297592,22.93,97.75,67.81,76,97,1.92
149,Hofn,IS,1540297592,64.25,-15.21,39.37,48,100,5.61
150,Cervo,BR,1540296000,-22.19,-46.24,73.4,0,78,6.93
151,Verkh-Usugli,RU,1540297593,52.7,115.17,25.24,24,79,3.38
152,Bam,IR,1540292400,29.11,58.36,60.8,75,41,23.04
153,Vracov,CZ,1540296000,48.98,17.21,53.6,20,50,10.29
154,Wahiawa,US,1540295820,21.5,-158.02,78.8,1,94,5.82
155,Atambua,ID,1540297594,-9.11,124.89,79.24,8,100,3.94
156,Bozovici,RO,1540296000,44.93,22.0,60.8,0,51,8.05
157,Savannah Bight,HN,1540297594,16.45,-85.85,81.31,88,100,7.07
158,Nishihara,JP,1540295760,35.74,139.53,60.8,75,72,3.36
159,Chicama,PE,1540296000,-7.84,-79.15,60.8,75,93,3.36
160,Retiro,CL,1540296000,-36.06,-71.77,55.4,75,76,5.82
161,Poum,MK,1540296000,41.28,20.71,57.2,75,62,11.41
162,Ponta do Sol,BR,1540297595,-20.63,-46.0,74.6,0,70,9.98
163,Luwuk,ID,1540297595,-0.95,122.79,80.86,0,79,3.94
164,Cayenne,GF,1540296000,4.94,-52.33,84.2,40,74,8.05
165,Trelew,AR,1540297596,-43.25,-65.31,45.94,0,75,5.73
166,Bonthe,SL,1540297596,7.53,-12.5,85.99,8,79,3.83
167,Atar,MR,1540297596,20.52,-13.05,88.55,8,34,13.44
168,Kimbe,PG,1540297597,-5.56,150.15,80.14,56,100,5.39
169,Aklavik,CA,1540296000,68.22,-135.01,21.2,90,92,3.15
170,Lagoa,PT,1540296000,37.14,-8.45,69.8,75,88,8.05
171,Rabo de Peixe,PT,1540296000,37.8,-25.58,64.4,75,82,14.99
172,Helong,CN,1540297598,25.94,116.13,62.72,76,86,2.59
173,Kropotkin,RU,1540297598,45.43,40.58,63.22,44,67,13.0
174,Cidreira,BR,1540297599,-30.17,-50.22,66.77,100,96,9.98
175,Qaanaaq,GL,1540297599,77.48,-69.36,3.28,0,100,13.22
176,Souillac,FR,1540296000,45.6,-0.6,60.8,0,59,11.41
177,Jos,NG,1540297599,9.92,8.9,92.29,12,34,7.52
178,Paamiut,GL,1540297599,61.99,-49.67,33.83,0,99,20.6
179,Wattegama,LK,1540297603,7.35,80.68,74.02,88,94,2.04
180,Leningradskiy,RU,1540297603,69.38,178.42,21.68,64,100,6.62
181,Gornopravdinsk,RU,1540297603,60.06,69.92,37.07,92,93,10.42
182,Puksoozero,RU,1540297603,62.59,40.61,40.0,56,90,10.76
183,Kavieng,PG,1540297547,-2.57,150.8,76.63,92,100,6.4
184,Oriximina,BR,1540297604,-1.77,-55.87,86.48,0,64,4.27
185,Grafton,AU,1540297604,-29.69,152.93,64.88,8,98,2.37
186,Hithadhoo,MV,1540297330,-0.6,73.08,83.65,76,100,9.75
187,Norrtalje,SE,1540295400,59.76,18.7,44.6,75,87,17.22
188,Fairbanks,US,1540295880,64.84,-147.72,32.0,1,70,6.93
189,Tilichiki,RU,1540297605,60.47,166.1,9.4,36,83,2.93
190,Ahipara,NZ,1540297605,-35.17,173.16,54.13,80,100,3.71
191,Burnie,AU,1540297605,-41.05,145.91,52.37,20,100,17.47
192,Baykit,RU,1540297605,61.68,96.39,27.35,76,88,2.71
193,Fengrun,CN,1540297605,39.83,118.12,49.85,0,54,9.53
194,Kieta,PG,1540297547,-6.22,155.63,78.34,64,100,2.37
195,Prince Rupert,CA,1540296000,54.32,-130.32,57.2,40,54,14.99
196,Gisborne,NZ,1540297606,-38.66,178.02,48.64,0,83,3.6
197,Sabang,PH,1540297606,13.72,123.58,79.69,76,91,9.19
198,Mahebourg,MU,1540296000,-20.41,57.7,77.0,40,53,14.99
199,Nanchang,CN,1540297606,28.68,115.89,60.83,0,87,5.73
200,Richards Bay,ZA,1540297607,-28.77,32.06,78.52,0,51,10.31
201,Lavrentiya,RU,1540297607,65.58,-170.99,37.48,64,100,21.05
202,Andilamena,MG,1540297607,-17.01,48.57,72.35,8,48,11.88
203,Bethel,US,1540295580,60.79,-161.76,30.2,1,100,5.82
204,Lompoc,US,1540296420,34.64,-120.46,57.2,90,87,8.08
205,Doka,SD,1540297608,13.52,35.76,99.58,0,33,6.06
206,Visnes,NO,1540295400,59.36,5.22,51.8,75,71,19.46
207,Atasu,KZ,1540297608,48.68,71.64,35.41,0,58,3.15
208,Pevek,RU,1540297609,69.7,170.27,19.75,80,100,6.73
209,Bara,NG,1540297609,10.41,10.6,92.92,20,43,6.17
210,Turbat,PK,1540297609,26.0,63.05,95.17,32,28,11.1
211,Port Hawkesbury,CA,1540296000,45.62,-61.36,33.8,1,69,6.93
212,Marrakesh,MA,1540296000,31.63,-7.99,73.4,40,53,10.29
213,Sao Joao da Barra,BR,1540296000,-21.64,-41.05,78.8,0,57,13.87
214,Fortuna,ES,1540296000,38.18,-1.13,73.4,40,68,2.24
215,Walla Walla,US,1540295760,46.06,-118.33,50.0,75,76,2.59
216,Pauini,BR,1540297610,-7.71,-67.0,79.55,88,88,3.6
217,Half Moon Bay,US,1540296000,37.46,-122.43,55.4,40,93,6.96
218,Kharitonovo,RU,1540297611,61.4,47.5,36.85,92,100,8.19
219,Tobol,SE,1540295400,59.83,12.54,48.2,0,66,11.41
220,Taltal,CL,1540297611,-25.41,-70.49,54.62,0,87,1.7
221,Auburn,US,1540295760,32.61,-85.48,57.2,20,93,4.7
222,Kununurra,AU,1540296000,-15.77,128.74,86.0,32,58,10.29
223,Chokurdakh,RU,1540297327,70.62,147.9,11.87,64,76,11.88
224,Srednekolymsk,RU,1540297615,67.46,153.71,7.87,80,75,4.61
225,Egvekinot,RU,1540297615,66.32,-179.17,7.37,80,73,2.59
226,Raudeberg,NO,1540295400,61.99,5.14,42.8,75,70,20.8
227,Champerico,MX,1540295700,16.38,-93.6,68.0,40,94,2.15
228,Anadyr,RU,1540292400,64.73,177.51,21.2,75,92,8.95
229,Kyzyl-Suu,KG,1540297616,42.34,78.0,44.05,56,100,4.16
230,Sfantu Gheorghe,RO,1540296000,44.65,26.83,66.2,0,48,13.87
231,Toba,JP,1540294200,34.47,136.83,64.4,75,72,5.82
232,Badami,IN,1540297617,15.92,75.68,88.33,68,39,3.49
233,Iqaluit,CA,1540296000,63.75,-68.52,15.8,75,78,9.17
234,Alta Floresta,BR,1540292400,-9.87,-56.08,77.0,40,94,1.12
235,Carnarvon,ZA,1540297617,-30.97,22.13,78.38,0,12,18.92
236,Santiago del Estero,AR,1540297619,-27.8,-64.26,61.78,92,100,12.77
237,Birin,SY,1540297619,35.01,36.67,76.58,12,52,8.08
238,Shelburne,CA,1540296840,44.08,-80.2,39.2,90,100,6.96
239,Nemuro,JP,1540297619,43.32,145.57,56.33,20,98,17.47
240,Laguna,MX,1540297619,27.52,-110.01,70.24,0,86,2.26
241,Sao Pedro do Sul,BR,1540296000,-29.62,-54.18,69.8,75,73,14.99
242,Puerto Escondido,MX,1540295100,15.86,-97.07,73.4,5,69,9.17
243,Savyntsi,UA,1540297620,49.4,37.05,52.82,0,70,9.86
244,Santa Cruz de Tenerife,ES,1540296000,28.47,-16.25,77.0,75,82,5.82
245,Changping,CN,1540294200,40.22,116.23,48.2,0,57,4.47
246,Ketchikan,US,1540295580,55.34,-131.65,57.2,90,62,11.41
247,Taoudenni,ML,1540297622,22.68,-3.98,95.75,12,25,13.0
248,Nuuk,GL,1540295400,64.17,-51.74,17.6,5,67,10.29
249,Bridlington,GB,1540295400,54.08,-0.19,60.8,12,67,16.11
250,Vardo,US,1540296000,39.62,-77.74,48.2,40,75,4.7
251,Lichinga,MZ,1540296000,-13.3,35.25,69.8,20,49,12.75
252,Mangai,CD,1540297623,-4.07,19.59,82.93,20,83,2.93
253,Rawson,AR,1540297623,-43.3,-65.11,45.94,0,75,5.73
254,Lebu,ET,1540297623,8.96,38.73,69.25,12,48,8.75
255,Talin,AM,1540295400,40.38,43.87,68.0,75,62,16.11
256,Gushikawa,JP,1540295760,26.35,127.87,77.0,1,88,3.36
257,Jalu,LY,1540297624,29.03,21.55,89.77,48,28,10.42
258,Coihaique,CL,1540296000,-45.58,-72.07,44.6,0,93,3.36
259,Alofi,NU,1540296000,-19.06,-169.92,71.6,75,88,13.87
260,Natal,BR,1540296000,-5.81,-35.21,86.0,75,58,16.11
261,Kloulklubed,PW,1540295400,7.04,134.26,78.8,90,88,4.7
262,Cockburn Town,TC,1540297409,21.46,-71.14,82.43,36,99,10.54
263,Banda Aceh,ID,1540297625,5.56,95.32,78.61,48,86,3.6
264,Montenegro,BR,1540296000,-29.68,-51.47,71.6,75,73,6.93
265,Gold Coast,AU,1540296000,-28.0,153.41,71.6,75,78,6.93
266,Kokstad,ZA,1540297625,-30.55,29.42,76.4,0,27,3.94
267,Caruray,PH,1540297629,10.31,119.01,80.9,68,100,3.6
268,Barcelona,ES,1540296000,41.38,2.18,69.8,0,56,3.36
269,Laibin,CN,1540297629,23.74,109.23,61.78,100,98,5.17
270,Vila Franca do Campo,PT,1540296000,37.72,-25.43,64.4,75,82,14.99
271,Deputatskiy,RU,1540297630,69.3,139.9,-1.14,32,64,5.39
272,Batsfjord,NO,1540295400,70.63,29.72,41.0,0,86,6.93
273,Ankpa,NG,1540297630,7.37,7.63,87.65,32,76,9.53
